_id,Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
5107,5107,161713,2015-08-03T14:13:53,JUDETUL BIHOR,4244997.0,Bihor,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,5301260.15000000037252902984619140625,RON,Offline,NU,NU,45212300-9,Lucrari de constructii de cladiri destinate activitatilor artistice si culturale (Rev.2)
5108,5108,161718,2015-08-03T14:14:29,SPITALUL CLINIC JUDETEAN MURES,24014380.0,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,341668,RON,Offline,NU,NU,33141641-5,Sonde (Rev.2)
5109,5109,161719,2015-08-03T14:20:16,"Spitalul Municipal "" DR. AUREL TULBURE"" Fagaras",4384389.0,Brasov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,207576,RON,Online,NU,NU,15800000-6,Diverse produse alimentare (Rev.2)
5110,5110,161701,2015-08-03T14:29:09,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,76507.020000000004074536263942718505859375,RON,Offline,NU,NU,90900000-6,Servicii de curatenie si igienizare (Rev.2)
5111,5111,161705,2015-08-03T14:38:15,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,34700,RON,Offline,NU,NU,71320000-7,Servicii de conceptie tehnica (Rev.2)
5112,5112,161706,2015-08-03T14:38:34,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,281326.4799999999813735485076904296875,RON,Offline,NU,NU,50413100-4,Servicii de reparare si de intretinere a echipamentului de detectare a gazului (Rev.2)
5113,5113,161709,2015-08-03T14:39:55,Filiala de Distributie a Energiei  Electrice - Electrica Distributie Muntenia Nord S.A.,RO 14506181,Prahova,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,1237237,RON,Offline,NU,NU,50331000-4,Servicii de reparare si de intretinere a liniilor de telecomunicatii (Rev.2)
5114,5114,161721,2015-08-03T14:47:06,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,615800,RON,Offline,NU,NU,50411200-1,Servicii de reparare si de intretinere a contoarelor de gaz (Rev.2)
5115,5115,161727,2015-08-03T14:47:25,AQUATIM S.A. Timisoara,RO 3041480,Timis,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,175000,RON,Offline,NU,NU,34130000-7,Autovehicule pentru transportul de marfuri (Rev.2)
5116,5116,161730,2015-08-03T15:00:20,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,150000,RON,Offline,NU,NU,34100000-8,Autovehicule (Rev.2)
5117,5117,161728,2015-08-04T01:30:00,COMPANIA DE TRANSPORT PUBLIC CLUJ-NAPOCA S.A.,RO 201195,Cluj,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,45000000,RON,Offline,DA,NU,34622300-6,Troleibuze (Rev.2)
5118,5118,161702,2015-08-04T01:30:00,Spitalul Clinic Judetean de Urgenta Craiova,5002142.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,688157.150000000023283064365386962890625,RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
5119,5119,161725,2015-08-04T01:30:00,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368.0,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,51905671.5900000035762786865234375,RON,Offline,DA,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
5120,5120,161711,2015-08-04T01:30:00,MINISTERUL FONDURILOR EUROPENE,20897750.0,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,10499328,RON,Offline,DA,DA,79412000-5,Servicii de consultanta in gestiune financiara (Rev.2)
5121,5121,161698,2015-08-04T01:30:00,Filiala de Distributie a Energiei Electrice  ELECTRICA  DISTRIBUTIE TRANSILVANIA NORD S.A.,RO14476722,Cluj,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,672790,EUR,Offline,DA,NU,64210000-1,Servicii de telefonie si de transmisie de date (Rev.2)
5122,5122,161717,2015-08-04T01:30:00,Regia Autonoma de Transport Public Iasi,RO1976041,Iasi,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,14700000,RON,Online,DA,NU,09134200-9,Motorina (Rev.2)
5123,5123,161720,2015-08-04T01:30:00,"SPITALUL JUDETEAN DE URGENTA""SFANTUL IOAN CEL NOU""SUCEAVA",4243983.0,Suceava,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,956213.28000000002793967723846435546875,RON,Online,DA,NU,33651000-8,Antiinfectioase generale pentru uz sistemic (Rev.2)
5124,5124,161732,2015-08-04T01:30:00,SPITALUL UNIVERSITAR DE URGENTA ELIAS,4192537.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,3641066.8599999998696148395538330078125,RON,Online,DA,NU,33111000-1,Aparate de radiologie (Rev.2)
5125,5125,161716,2015-08-04T01:30:00,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,2627520,EUR,Offline,DA,NU,50000000-5,Servicii de reparare si intretinere (Rev.2)
5126,5126,161710,2015-08-04T01:30:00,Universitatea de Medicina si Farmacie,4322742.0,Mures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,659946.78000000002793967723846435546875,RON,Offline,DA,NU,90900000-6,Servicii de curatenie si igienizare (Rev.2)
5127,5127,161697,2015-08-04T01:30:00,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498.0,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2849808,RON,Offline,DA,NU,33141420-0,Manusi chirurgicale (Rev.2)
5128,5128,161751,2015-08-04T01:30:00,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,69853210,RON,Offline,DA,NU,34113200-4,Vehicule pentru orice tip de teren (Rev.2)
5129,5129,161729,2015-08-04T01:30:00,"Centrul Medical De Diagnostic Si Tratament Ambulatoriu ""Dr. Nicolae Kretzulescu""",4267079.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2502445.1400000001303851604461669921875,RON,Offline,DA,NU,33600000-6,Produse farmaceutice (Rev.2)
5130,5130,161724,2015-08-04T01:30:00,SPITALUL CLINIC JUDETEAN DE URGENTA SIBIU,4240898.0,Sibiu,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,4856378.879999999888241291046142578125,RON,Online,DA,NU,33651100-9,Antibacterieni pentru uz sistemic (Rev.2)
5131,5131,161731,2015-08-04T01:30:00,"Spitalul Clinic de Urgenta pentru Copii ""Sf. Ioan"" Galati",3346875.0,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,766840,RON,Online,DA,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
5132,5132,161733,2015-08-04T01:30:00,SALUBRIS S.A. Iasi,RO 14816433,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,262000,EUR,Offline,DA,NU,34921100-0,Masini de maturat strazile (Rev.2)
5133,5133,161704,2015-08-04T01:30:00,SOCIETATEA COMERCIALA CEZ DISTRIBUTIE S.A.,14491102.0,Dolj,Servicii,DA,Negociere,Pretul cel mai scazut,9014000,RON,Offline,DA,NU,71621000-7,Servicii de analiza sau consultanta tehnica (Rev.2)
5134,5134,161749,2015-08-04T01:30:00,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,7615987,RON,Offline,DA,NU,79713000-5,Servicii de paza (Rev.2)
5135,5135,161736,2015-08-04T01:30:00,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR CALARASI,3233116.0,Calarasi,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,640485.900000000023283064365386962890625,RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
5136,5136,161708,2015-08-04T01:30:00,S.C. SALUBRITATE CRAIOVA,RO27969145,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1270946,RON,Offline,DA,NU,34310000-3,Motoare si piese pentru motoare (vehicule) (Rev.2)
5137,5137,161712,2015-08-04T01:30:00,SPITALUL CLINIC PANAIT SIRBU,4316295.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1028402.400000000023283064365386962890625,RON,Offline,DA,NU,24931250-6,Medii de cultura (Rev.2)
5138,5138,161715,2015-08-04T01:30:00,Compania de  Apa Oltenia SA,RO 11400673,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,7661680,RON,Online,DA,NU,09310000-5,Electricitate (Rev.2)
5139,5139,161762,2015-08-04T09:24:51,JUDETUL IASI,4540712.0,Iasi,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,6065.7200000000002546585164964199066162109375,RON,Offline,NU,NU,45231400-9,Lucrari de constructii de linii electrice (Rev.2)
5140,5140,161785,2015-08-04T14:28:48,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""GR.T.POPA"" IASI",4701100.0,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,76500,RON,Online,NU,DA,33126000-9,Aparate de stomatologie (Rev.2)
5141,5141,161786,2015-08-04T14:40:02,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,1017415.19999999995343387126922607421875,RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
5142,5142,161734,2015-08-04T14:40:49,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,201030,RON,Offline,NU,NU,43640000-1,Piese pentru excavatoare (Rev.2)
5143,5143,161735,2015-08-04T14:44:13,TRANSURBAN S.A.,18171186.0,Satu Mare,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,650000,RON,Offline,NU,NU,34121400-5,Autobuze cu podea joasa (Rev.2)
5144,5144,161738,2015-08-04T14:44:46,"COMPANIA NATIONALA ""ADMINISTRATIA PORTURILOR MARITIME"" SA CONSTANTA",11062831.0,Constanta,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,646200,RON,Offline,NU,NU,42961000-0,Sisteme de comanda si control (Rev.2)
5145,5145,161746,2015-08-04T14:45:33,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,130000,RON,Offline,NU,NU,50532400-7,Servicii de reparare si de intretinere a echipamentului de distributie electrica (Rev.2)
5146,5146,161747,2015-08-04T14:45:55,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,160960,RON,Offline,NU,NU,50532200-5,Servicii de reparare si de intretinere a transformatoarelor (Rev.2)
5147,5147,161750,2015-08-04T14:46:31,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,37000,RON,Offline,NU,NU,31430000-9,Acumulatori electrici (Rev.2)
5148,5148,161753,2015-08-04T14:49:29,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,86359.139999999999417923390865325927734375,RON,Offline,NU,NU,50700000-2,Servicii de reparare si de intretinere a instalatiilor de constructii (Rev.2)
5149,5149,161756,2015-08-04T14:49:55,"COMPANIA NATIONALA ""ADMINISTRATIA PORTURILOR MARITIME"" SA CONSTANTA",11062831.0,Constanta,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,495000,RON,Online,NU,NU,09134220-5,Motorina (EN 590) (Rev.2)
5150,5150,161758,2015-08-04T14:50:19,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,259488,RON,Offline,NU,NU,50225000-8,Servicii de intretinere a liniilor de cai ferate (Rev.2)
5151,5151,161759,2015-08-04T14:51:30,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,968532.5,RON,Online,NU,NU,44167110-2,Flanse (Rev.2)
5152,5152,161757,2015-08-04T14:54:50,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,445393,RON,Offline,NU,NU,45234140-9,Lucrari de constructii de pasaje la nivel (Rev.2)
5153,5153,161769,2015-08-05T01:30:01,SPITALUL MUNICIPAL PLOIESTI,2844227.0,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,26345650.899999998509883880615234375,RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
5154,5154,161760,2015-08-05T01:30:01,DIRECTIA GENERALA PENTRU ADMINISTRAREA PATRIMONIULUI IMOBILIAR,14783794.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,808870.96999999997206032276153564453125,RON,Offline,DA,NU,30195200-4,Table electronice cu posibilitate de copiere sau accesorii (Rev.2)
5155,5155,161752,2015-08-05T01:30:01,Centrul National de Evaluare si Examinare,26311639.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,22902482.35999999940395355224609375,RON,Offline,DA,NU,22112000-8,Manuale scolare (Rev.2)
5156,5156,161743,2015-08-05T01:30:01,DIRECTIA GENERALA REGIONALA A FINANTELOR PUBLICE GALATI,3127190.0,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,957000,RON,Online,DA,NU,30197642-8,Hartie pentru fotocopiatoare si xerografica (Rev.2)
5157,5157,161742,2015-08-05T01:30:01,SPITALUL CLINIC PANAIT SIRBU,4316295.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2116305,RON,Offline,DA,NU,33141310-6,Seringi (Rev.2)
5158,5158,161741,2015-08-05T01:30:01,DIRECTIA INVATAMANT SI TINERET SECTOR 4,26618499.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1162409.08000000007450580596923828125,RON,Offline,DA,NU,15811300-9,Cornuri (Rev.2)
5159,5159,161745,2015-08-05T01:30:01,ADMINISTRATIA BAZINALA DE APA  SOMES TISA,RO 18269681,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,885483.869999999995343387126922607421875,RON,Offline,DA,NU,34110000-1,Autoturisme (Rev.2)
5160,5160,161765,2015-08-05T01:30:01,DIRECTIA SANITARA VETERINARA SI PENTRU SIGURANTA ALIMENTELOR OLT,4286410.0,Olt,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,1248039.19999999995343387126922607421875,RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
5161,5161,161755,2015-08-05T01:30:01,Institutul de Fonoaudiologie si Chirurgie Functionala - O.R.L. Prof. Dr. D. Hociota,4316210.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,14375000,RON,Offline,DA,NU,33185200-2,Implant cohlear (Rev.2)
5162,5162,161790,2015-08-05T01:30:01,Primaria Orasului Buftea,4434029.0,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1109843.370000000111758708953857421875,RON,Online,DA,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
5163,5163,161737,2015-08-05T01:30:01,SPITALUL ORASENESC NOVACI,4666118.0,Gorj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,21871831.17000000178813934326171875,RON,Online,DA,NU,33100000-1,Echipamente medicale (Rev.2)
5164,5164,161754,2015-08-05T01:30:01,SPITALUL DE PNEUMOFTIZIOLOGIE TUDOR VLADIMIRESCU,4351870.0,Gorj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,616935.51000000000931322574615478515625,RON,Online,DA,NU,33100000-1,Echipamente medicale (Rev.2)
5165,5165,161744,2015-08-05T01:30:01,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI SECTOR 6,17300924.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1056031.209999999962747097015380859375,RON,Offline,DA,NU,15540000-5,Branzeturi (Rev.2)
5166,5166,161768,2015-08-05T13:54:48,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,808000,RON,Offline,NU,NU,45234100-7,Lucrari de constructii de cai ferate (Rev.2)
5167,5167,161778,2015-08-05T13:56:34,Unitatea Militara 0920 Bucuresti,25867378.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,197619,RON,Online,NU,NU,30213300-8,Computer de birou (Rev.2)
5168,5168,161788,2015-08-05T13:58:21,Ministerul Apararii - Unitatea Militara 02550 Bucuresti,4283716.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,234000,RON,Offline,NU,NU,34136100-0,Furgonete (Rev.2)
5169,5169,161763,2015-08-05T13:59:55,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,83465,RON,Offline,NU,NU,50532000-3,Servicii de reparare si de intretinere a masinilor si aparatelor electrice si a echipamentului conex (Rev.2)
5170,5170,161764,2015-08-05T14:00:33,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,45689.699999999997089616954326629638671875,RON,Offline,NU,NU,22458000-5,Imprimate la comanda (Rev.2)
5171,5171,161767,2015-08-05T14:03:59,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,316999.75,RON,Offline,NU,NU,50112000-3,Servicii de reparare si de intretinere a automobilelor (Rev.2)
5172,5172,161770,2015-08-05T14:04:25,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,131558.51999999998952262103557586669921875,RON,Offline,NU,NU,50532000-3,Servicii de reparare si de intretinere a masinilor si aparatelor electrice si a echipamentului conex (Rev.2)
5173,5173,161772,2015-08-05T14:12:56,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,227827,RON,Online,NU,NU,42124000-4,"Piese pentru pompe, pentru compresoare, pentru masini sau pentru motoare (Rev.2)"
5174,5174,161775,2015-08-05T14:16:11,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,37267.2300000000032014213502407073974609375,RON,Online,NU,NU,50410000-2,"Servicii de reparare si de intretinere a aparatelor de masurare, de testare si de control (Rev.2)"
5175,5175,161777,2015-08-05T14:17:14,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,411549.599999999976716935634613037109375,RON,Offline,NU,NU,50225000-8,Servicii de intretinere a liniilor de cai ferate (Rev.2)
5176,5176,161779,2015-08-05T14:18:28,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,17000,RON,Offline,NU,NU,42113100-5,Piese pentru turbine cu aburi (Rev.2)
5177,5177,161780,2015-08-05T14:19:05,Societatea Nationala NUCLEARELECTRICA S.A.,10874881.0,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,132970,RON,Offline,NU,NU,60000000-8,Servicii de transport (cu exceptia transportului de deseuri) (Rev.2)
5178,5178,161783,2015-08-05T14:27:53,HIDROELECTRICA SA,RO 13267213,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,50000,RON,Offline,NU,NU,39715210-2,Echipament de incalzire centrala (Rev.2)
5179,5179,161784,2015-08-05T14:45:12,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,355029.25,RON,Offline,NU,NU,18830000-6,Incaltaminte de protectie (Rev.2)
5180,5180,161789,2015-08-05T14:46:20,MONITORUL OFICIAL R.A.,RO427282,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,16600,EUR,Offline,NU,NU,30197630-1,Hartie pentru tiparit (Rev.2)
5181,5181,161808,2015-08-05T16:45:26,Spitalul Orasenesc Sinaia,2843299.0,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,392011.3400000000256113708019256591796875,RON,Online,NU,NU,33100000-1,Echipamente medicale (Rev.2)
5182,5182,161761,2015-08-06T01:30:00,Uzina de Agent Termic si Alimentare cu Apa Motru S.A,R13914972,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,2129500,RON,Offline,DA,NU,09130000-9,Petrol si produse distilate (Rev.2)
5183,5183,161782,2015-08-06T01:30:00,REGIA AUTONOMA AEROPORT CRAIOVA,RO 10300854,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,750000,RON,Offline,DA,NU,34144213-4,Vehicule de stingere a incendiilor (Rev.2)
5184,5184,161766,2015-08-06T01:30:00,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,523000,EUR,Offline,DA,NU,34144740-7,Vehicule de tractare a aeronavelor (Rev.2)
5185,5185,161801,2015-08-06T01:30:00,SPITALUL DE PSIHIATRIE TITAN DR.CONSTANTIN GORGOS,14908162.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,23299420.6999999992549419403076171875,RON,Online,DA,NU,33652000-5,Antineoplazice si imunomodulatoare (Rev.2)
5186,5186,161773,2015-08-06T01:30:00,OMV PETROM S.A,RO 1590082,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1236900,EUR,Offline,DA,NU,31121000-0,Grupuri electrogene (Rev.2)
5187,5187,161781,2015-08-06T01:30:00,DIRECTIA INVATAMANT SI TINERET SECTOR 4,26618499.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2739964.25999999977648258209228515625,RON,Offline,DA,NU,15500000-3,Produse lactate (Rev.2)
5188,5188,161799,2015-08-06T01:30:00,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,5484744,RON,Offline,DA,NU,79713000-5,Servicii de paza (Rev.2)
5189,5189,161748,2015-08-06T01:30:00,MINISTERUL EDUCATIEI SI CERCETARII STIINTIFICE,13729380.0,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,24837306.899999998509883880615234375,RON,Offline,DA,DA,45214100-1,Lucrari de constructii de gradinite (Rev.2)
5190,5190,161787,2015-08-06T01:30:00,Ministerul Apararii - Unitatea Militara 02550 Bucuresti,4283716.0,Bucuresti,Furnizare,NU,Licitatie restransa,Pretul cel mai scazut,20340418,RON,Offline,DA,NU,35331300-3,Grenade (Rev.2)
5191,5191,161800,2015-08-06T01:30:00,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""VICTOR BABES"" TIMISOARA",4269215.0,Timis,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,18713467.7300000004470348358154296875,RON,Online,DA,DA,38000000-5,"Echipamente de laborator, optice si de precizie (cu exceptia ochelarilor) (Rev.2)"
5192,5192,161771,2015-08-06T01:30:00,Spitalul Clinic Judetean de Urgenta Craiova,5002142.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1308860,RON,Online,DA,NU,42120000-6,Pompe si compresoare (Rev.2)
5193,5193,161807,2015-08-06T01:30:00,MUNICIPIUL PITESTI - CONSILIUL LOCAL AL MUNICIPIULUI PITESTI,4317967.0,Arges,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,2031571,RON,Offline,DA,DA,39160000-1,Mobilier scolar (Rev.2)
5194,5194,161774,2015-08-06T01:30:00,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368.0,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,12848675.61999999918043613433837890625,RON,Offline,DA,NU,90620000-9,Servicii de deszapezire (Rev.2)
5195,5195,161798,2015-08-06T01:30:00,"Institutul National de Cercetare Dezvoltare pentru Fizica si Inginerie Nucleara ""Horia Hulubei""",R 3321234,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,369788.5399999999790452420711517333984375,EUR,Offline,DA,DA,42124320-3,Piese pentru pompe de vid (Rev.2)
5196,5196,161827,2015-08-06T10:33:39,UM 0929 Bucuresti,13624359.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,342741.9299999999930150806903839111328125,RON,Offline,NU,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
5197,5197,161794,2015-08-06T14:11:47,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498.0,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,563838,RON,Offline,NU,NU,33141641-5,Sonde (Rev.2)
5198,5198,161810,2015-08-06T14:16:17,MINISTERUL AFACERILOR INTERNE,4267095.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,39112.9000000000014551915228366851806640625,RON,Online,NU,NU,32236000-6,Radiotelefoane (Rev.2)
5199,5199,161791,2015-08-06T14:21:00,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,505983,RON,Offline,NU,NU,30213300-8,Computer de birou (Rev.2)
5200,5200,161792,2015-08-06T14:21:32,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,28196.47999999999956344254314899444580078125,RON,Offline,NU,NU,90900000-6,Servicii de curatenie si igienizare (Rev.2)
5201,5201,161793,2015-08-06T14:22:57,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,150128.2000000000116415321826934814453125,RON,Online,NU,NU,50410000-2,"Servicii de reparare si de intretinere a aparatelor de masurare, de testare si de control (Rev.2)"
